---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
29.1%  984M  592M    0 | 383  41.3     0    46M|   3  2.04     1  3.87     0 |   0     0 |   0     0     0    54M  217   651     0     0 
35.6%  984M  600M    0 | 535  28.5     0    65M|   6  3.14     5  3.54     0 |   0     0 |   0     0     0    58M  233   630     0     0 
51.8%  985M  575M    0 | 583  29.3     0    71M|   7  3.13     5  3.90     0 |   0     0 |   0     0     0    96M  386   473     0     0 
36.7%  985M  598M    0 | 556  28.1     0    67M|   2  2.94     1  4.47     0 |   0     0 |   0     0     0    45M  179   713     0     0 
29.1%  985M  598M    0 | 355  33.0     0    42M|   2  0.97     0     0     0 |   0     0 |   0     0     0    41M  169   662     0     0 
45.4%  985M  595M    0 | 572  35.6     0    69M|   3  1.24     0     0     0 |   0     0 |   0     0     0    73M  293   688     0     0 
27.7%  985M  600M    0 | 393  38.9     0    47M|   9  3.05     8  3.24     0 |   0     0 |   0     0     0    41M  170   673     0     0 
40.1%  985M  600M    0 | 528  28.7     0    64M|   9  3.03     7  3.55     0 |   0     0 |   0     0     0    64M  257   629     0     0 
31.9%  985M  598M    0 | 415  41.4     0    50M|   1  1.20     0     0     0 |   0     0 |   0     0     0    53M  212   647     0     0 
37.6%  985M  600M    0 | 565  24.8     0    68M|   3  2.07     3  3.68     0 |   0     0 |   0     0     0    67M  270   613     0     0 
43.1%  985M  600M    0 | 675  23.2     0    82M|   2  0.90     0     0     0 |   0     0 |   0     0     0    82M  331   375     0     0 
24.3%  985M  600M    0 | 344  36.3     0    41M|  11  2.76    10  2.92     0 |   0     0 |   0     0     0    40M  164   776     0     0 
43.4%  986M  598M    0 | 644  31.6     0    78M|   6  2.85     4  3.68     0 |   0     0 |   0     0     0    80M  324   645     0     0 
24.6%  986M  600M    0 | 355  33.0     0    42M|   2  2.56     1  3.94     0 |   0     0 |   0     0     0    40M  163   607     0     0 
56.2%  986M  600M    0 | 795  21.6     0    97M|   3  2.13     1  4.12     0 |   0     0 |   0     0     0    98M  393   368     0     0 
31.0%  986M  570M    0 | 385  51.9     0    46M|   9  2.31     6  2.84     0 |   0     0 |   0     0     0    76M  307   750     0     0 
32.0%  986M  595M    0 | 618  23.5     0    75M|  10  3.13     9  3.35     0 |   0     0 |   0     0     0    49M  199   583     0     0 
21.5%  986M  600M    0 | 369  31.4     0    44M|   7  2.29     5  2.76     0 |   0     0 |   0     0     0    39M  160   641     0     0 
32.6%  986M  585M    0 | 498  43.4     0    60M|   7  2.97     6  3.28     0 |   0     0 |   0     0     0    76M  305   739     0     0 
23.1%  986M  600M    0 | 443  28.5     0    53M|   4  2.57     2  3.82     0 |   0     0 |   0     0     0    38M  156   654     0     0 
36.4%  986M  593M    0 | 564  31.5     0    68M|   3  2.00     1  3.88     0 |   0     0 |   0     0     0    75M  302   624     0     0 
48.2%  986M  600M    0 | 845  20.2     0   104M|   8  2.74     9  3.06     0 |   0     0 |   0     0     0    97M  389   373     0     0 
21.2%  986M  600M    0 | 320  45.5     0    38M|   5  2.51     3  3.43     0 |   0     0 |   0     0     0    38M  156   916     0     0 
24.0%  986M  596M    0 | 374  37.8     0    45M|   6  3.13     5  3.51     0 |   0     0 |   0     0     0    48M  195   657     0     0 
40.7%  986M  600M    0 | 691  24.6     0    84M|   3  2.09     1  3.77     0 |   0     0 |   0     0     0    82M  328   423     0     0 
