path	type	mode	uid	gid	size	mtime_ns	link_target
/home/lilingfeng/project/juicefs/cmd/mount_unix.go	dir	644	lilingfeng	lilingfeng	29115	1782895654.7285091630	
/home/lilingfeng/project/juicefs/cmd/passfd.go	dir	644	lilingfeng	lilingfeng	5030	1782895654.7285091630	
/home/lilingfeng/project/juicefs/cmd/gateway_noop.go	dir	644	lilingfeng	lilingfeng	1077	1781576081.7387259230	
/home/lilingfeng/project/juicefs/cmd/config_test.go	dir	644	lilingfeng	lilingfeng	3120	1782895654.7245091050	
/home/lilingfeng/project/juicefs/cmd/restore.go	dir	644	lilingfeng	lilingfeng	3501	1782895654.7285091630	
/home/lilingfeng/project/juicefs/cmd/status_test.go	dir	644	lilingfeng	lilingfeng	1554	1782895654.7285091630	
/home/lilingfeng/project/juicefs/cmd/quota.go	dir	644	lilingfeng	lilingfeng	5186	1782895654.7285091630	
/home/lilingfeng/project/juicefs/cmd/mdtest.go	dir	644	lilingfeng	lilingfeng	6875	1782895654.7285091630	
/home/lilingfeng/project/juicefs/cmd/fsck.go	dir	644	lilingfeng	lilingfeng	6192	1782895654.7245091050	
/home/lilingfeng/project/juicefs/cmd/debug_unix.go	dir	644	lilingfeng	lilingfeng	2812	1782895654.7245091050	
/home/lilingfeng/project/juicefs/cmd/mount.go	dir	644	lilingfeng	lilingfeng	20271	1782895654.7285091630	
/home/lilingfeng/project/juicefs/cmd/destroy.go	dir	644	lilingfeng	lilingfeng	5633	1782895654.7245091050	
/home/lilingfeng/project/juicefs/cmd/integration_test.go	dir	644	lilingfeng	lilingfeng	2596	1782895654.7245091050	
/home/lilingfeng/project/juicefs/cmd/debug_windows.go	dir	644	lilingfeng	lilingfeng	4733	1782895654.7245091050	
/home/lilingfeng/project/juicefs/cmd/bench.go	dir	644	lilingfeng	lilingfeng	13772	1782895654.7245091050	
/home/lilingfeng/project/juicefs/cmd/gateway.go	dir	644	lilingfeng	lilingfeng	8077	1782895654.7245091050	
/home/lilingfeng/project/juicefs/cmd/restore_test.go	dir	644	lilingfeng	lilingfeng	2499	1781576081.7387259230	
